[2025-09-05T05:57:34.200863+00:00] defaultLogger.INFO: Starting application integrity check [] {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.246839+00:00] defaultLogger.WARNING: File hash mismatch: ChurchCRM/Bootstrapper.php. Expected: b7dbcde84c8aa54c70256b14b752355f381fe0c9; Got: c520a1da4487b6d2e98d5fa366e624e4b9e139f2 {"filename":"ChurchCRM/Bootstrapper.php","expectedHash":"b7dbcde84c8aa54c70256b14b752355f381fe0c9","actualHash":"c520a1da4487b6d2e98d5fa366e624e4b9e139f2"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.248253+00:00] defaultLogger.WARNING: File hash mismatch: ChurchCRM/Dashboard/EventsMenuItems.php. Expected: b9a6a618d3e24dea1f0547441ddc7fa7c9b74a35; Got: f7da3fe6fc5d38f6898f131907b1868fc167181a {"filename":"ChurchCRM/Dashboard/EventsMenuItems.php","expectedHash":"b9a6a618d3e24dea1f0547441ddc7fa7c9b74a35","actualHash":"f7da3fe6fc5d38f6898f131907b1868fc167181a"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.411088+00:00] defaultLogger.WARNING: File hash mismatch: ChurchCRM/model/ChurchCRM/Map/ListOptionTableMap.php. Expected: 0df5003230dfce533c92b306f4b6b3e9e84e5b1d; Got: 3ba1c5c1ac8368479a8398162c60ade8aaf9a0af {"filename":"ChurchCRM/model/ChurchCRM/Map/ListOptionTableMap.php","expectedHash":"0df5003230dfce533c92b306f4b6b3e9e84e5b1d","actualHash":"3ba1c5c1ac8368479a8398162c60ade8aaf9a0af"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.431701+00:00] defaultLogger.WARNING: File hash mismatch: ChurchCRM/model/ChurchCRM/Person.php. Expected: 2df58092bf35b3df8aacde4a74163afb36d8e801; Got: aea61b9ce817c19cb525cbeedc2905def39ed154 {"filename":"ChurchCRM/model/ChurchCRM/Person.php","expectedHash":"2df58092bf35b3df8aacde4a74163afb36d8e801","actualHash":"aea61b9ce817c19cb525cbeedc2905def39ed154"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.449441+00:00] defaultLogger.WARNING: File hash mismatch: ChurchCRM/SystemCalendars/BirthdaysCalendar.php. Expected: 292ad35270740c23c46bc7f5446de1f95b355af5; Got: ec5ac60e0f6a20a79774b46c889d7489de815500 {"filename":"ChurchCRM/SystemCalendars/BirthdaysCalendar.php","expectedHash":"292ad35270740c23c46bc7f5446de1f95b355af5","actualHash":"ec5ac60e0f6a20a79774b46c889d7489de815500"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.458138+00:00] defaultLogger.WARNING: File hash mismatch: CSVImport.php. Expected: 7367cba089cca7eada3748a799cd662c3bcee4a4; Got: bc8298c5cb91f31604b6853da898d2d9295dbc5e {"filename":"CSVImport.php","expectedHash":"7367cba089cca7eada3748a799cd662c3bcee4a4","actualHash":"bc8298c5cb91f31604b6853da898d2d9295dbc5e"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.462666+00:00] defaultLogger.WARNING: File hash mismatch: EventEditor.php. Expected: 945b7b4ad7439b4d107411bc03154acc49a1759a; Got: 1adf1933ff9ce1e09e26d8e723f4b3a1f99ec8e9 {"filename":"EventEditor.php","expectedHash":"945b7b4ad7439b4d107411bc03154acc49a1759a","actualHash":"1adf1933ff9ce1e09e26d8e723f4b3a1f99ec8e9"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.463230+00:00] defaultLogger.WARNING: File hash mismatch: EventNames.php. Expected: b7db52944fe7453c10d688b99045d458a2366554; Got: 1bf04e7051a08cf882f332e971f59b46048ddfb1 {"filename":"EventNames.php","expectedHash":"b7db52944fe7453c10d688b99045d458a2366554","actualHash":"1bf04e7051a08cf882f332e971f59b46048ddfb1"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.471723+00:00] defaultLogger.WARNING: File hash mismatch: GroupList.php. Expected: d7da5a4713ba49d4f8bf0f3bf0e12bab5487bc49; Got: 0af69c932efab328f5dbe56c794b714663329275 {"filename":"GroupList.php","expectedHash":"d7da5a4713ba49d4f8bf0f3bf0e12bab5487bc49","actualHash":"0af69c932efab328f5dbe56c794b714663329275"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.481425+00:00] defaultLogger.WARNING: File hash mismatch: ListEvents.php. Expected: 4dad8c0e66bf654282ad1f55b324ff658c084fee; Got: 009fd0c0c718990e8fd47f27d73bcfe0f7aaf934 {"filename":"ListEvents.php","expectedHash":"4dad8c0e66bf654282ad1f55b324ff658c084fee","actualHash":"009fd0c0c718990e8fd47f27d73bcfe0f7aaf934"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
[2025-09-05T05:57:34.490581+00:00] defaultLogger.WARNING: File hash mismatch: PersonEditor.php. Expected: 00d79c2aa1163cafeda6aec27b3b6f769dd8ee2e; Got: 2865ba8c0e9042da4b4aa507143b55758f8a5c82 {"filename":"PersonEditor.php","expectedHash":"00d79c2aa1163cafeda6aec27b3b6f769dd8ee2e","actualHash":"2865ba8c0e9042da4b4aa507143b55758f8a5c82"} {"url":"/churchcrm/api/background/timerjobs","remote_ip":"114.10.29.218","correlation_id":"68ba7bce310a5"}
